txnAmt,status,payer_vpa,payee_vpa,ip_address,hour,date,transaction_type_encoded,transaction_frequency
11343,0,8,30,80.204,22,66,0,1
10096,1,58,31,107.95,16,63,1,3
6833,1,73,28,74.19,21,65,2,2
533,1,78,20,246.202,18,66,1,2
14544,1,68,7,112.194,14,66,0,2
9005,1,71,33,167.69,2,62,1,2
6931,1,48,29,57.133,9,64,2,1
9638,1,20,31,189.6,21,66,2,1
3361,1,61,6,113.6,22,69,2,1
7926,1,64,4,50.118,18,61,2,1
10402,0,9,19,78.37,10,64,2,1
13698,1,19,19,252.228,18,60,1,2
12964,0,32,25,79.33,15,63,1,1
10413,1,71,6,130.88,19,68,2,2
18730,0,79,33,213.64,17,66,2,1
2692,1,41,2,168.8,21,63,0,1
11658,1,90,27,50.167,14,60,2,1
11103,1,95,11,25.123,3,61,0,1
6019,0,45,22,239.204,9,68,1,1
19411,0,20,26,173.124,15,62,1,1
8118,0,7,30,28.89,21,64,1,1
2569,1,42,24,0.238,8,67,1,1
3262,0,100,27,205.179,6,60,2,2
1664,1,45,1,89.13,5,67,0,2
4305,0,84,28,7.69,13,68,0,3
1550,0,20,16,18.26,8,68,1,1
10194,0,86,27,199.209,1,61,2,1
7120,1,80,11,36.88,11,62,0,1
16774,0,81,14,36.35,1,67,0,1
5040,1,8,27,216.67,23,69,0,1
5524,0,56,9,143.125,14,60,2,1
18521,0,61,32,11.138,1,67,0,1
8296,0,69,33,122.236,7,63,2,2
6505,0,61,20,174.116,2,68,2,1
10664,0,47,7,170.155,22,68,1,1
3763,1,84,16,146.213,18,65,2,1
13731,1,16,26,87.62,13,69,1,2
17059,0,31,18,218.24,6,66,0,1
13822,0,90,29,122.116,20,69,0,1
3998,0,31,19,85.173,15,66,2,1
8525,0,34,18,40.168,10,67,0,2
12619,1,10,31,16.206,21,62,0,1
14126,1,75,13,100.148,19,69,1,1
6974,0,97,8,136.178,12,69,2,1
4120,1,16,14,97.73,9,61,2,2
945,1,20,23,187.14,8,61,2,1
8269,0,38,30,31.6,5,67,1,1
17506,0,23,13,92.24,8,69,2,1
13381,1,19,33,115.19,9,64,2,1
3201,0,27,27,139.166,8,68,1,2
17940,0,39,17,43.41,7,64,2,2
1246,0,75,18,104.177,4,63,2,1
8117,0,96,12,239.145,20,60,1,1
7919,0,81,12,152.36,8,60,0,1
1251,1,5,15,97.36,18,63,1,2
8282,0,60,29,143.96,1,69,2,2
17486,0,74,5,148.31,12,68,0,2
1518,1,6,8,205.17,2,68,2,1
